final result of k-means clustering:
4
90
80 80
44 53 3
59 30 4
61 36 1
65 34 4
13 46 2
16 38 2
11 36 2
39 14 4
38 9 4
29 20 3
61 38 1
11 58 2
14 42 2
10 42 2
69 32 4
71 30 4
70 38 1
10 41 2
10 44 2
11 54 2
63 29 4
61 21 4
65 43 1
9 57 2
10 52 2
21 41 2
8 46 2
12 38 2
68 30 4
61 28 4
8 35 2
10 38 2
66 25 4
58 39 1
13 49 2
8 46 2
20 55 2
38 56 2
37 60 2
21 53 2
11 48 2
64 39 1
63 41 1
11 53 2
14 57 2
66 39 1
9 49 2
16 39 2
10 35 2
13 51 2
67 44 1
63 24 4
38 11 4
27 21 3
41 24 4
29 23 3
36 10 4
37 19 4
29 10 4
58 43 1
66 28 4
64 21 4
35 26 3
37 24 4
62 25 4
63 28 4
38 56 2
37 60 2
47 54 3
45 48 3
44 60 2
39 51 2
43 52 3
18 58 2
20 56 2
62 30 4
64 20 4
59 24 4
21 52 2
38 61 2
45 63 2
44 55 3
19 46 2
44 47 3
41 66 2
40 55 2
49 52 3
61 30 4
69 24 4
57 39 1
